"","alpha","beta","eps","T1","L","M"
"y1...71",0.012227369063968,0.1425975907894,0.0108,16.7,1.52596572467496,0.143355677882618
"y1...72",0.0607924801072988,0.709991890329927,0.01592,4.8,0.309767277576306,0.104512551277754
"y1...73",0.0456114183039805,0.580238135820448,0.00417,7.7,0.434061486795154,0.124566412892231
"y1...74",0.145000519516204,1.81568342768617,0.00053,2.6,0.115201798461245,0.0907303601444516
"y1...75",0.0970425749538258,1.16690046599095,0.00011,4.8,0.216215303665847,0.117062647134268
"y1...76",0.184557435650733,2.57257941301617,0.00524,1.7,0.0734230930635811,0.0743769785064514
"y1...77",0.212149054328526,2.47806910978988,0.00398,1.7,0.0889090143720642,0.0899106196182744
"y1...78",0.125743948435394,1.4503649332849,0.001,3.5,0.166288018459181,0.109896045975349
"y1...79",0.0774483560093442,0.937916465330319,0.00043,5.7,0.280915142350945,0.124761371712418
"y1...80",0.0508552447084061,0.622674990512869,0.00459,7,0.407604879105456,0.125281434612691
"y1...81",0.0277565015735154,0.326209035213984,0.00589,11.4,0.892010668252427,0.160983790755569
"y1...82",0.0729746089656968,0.922154868397941,0.00056,6,0.278362898161254,0.120868182787174
"y1...83",0.0252718018834204,0.309576896391736,0.00752,11.1,0.811268999209552,0.138206813989548
"y1...84",0.161704525033735,2.0055774052601,0.00196,2.3,0.104191798938236,0.0893092202677165
"y1...85",0.0483141380404848,0.640856999381398,0.0036,7.2,0.369028790267581,0.114395869905973
"y1...86",0.147934403749374,1.86332801185994,0.00073,2.3,0.110387890259208,0.0866504095715267
"y1...87",0.0600831783829896,0.773917994034325,0.00244,6.4,0.315988173902865,0.116580444496367
"y1...88",0.155558250762311,1.93647414673499,0.00067,2.4,0.107848723498321,0.08972637132306
"y1...89",0.0953015492032349,1.40005340007152,4e-04,3.8,0.134365210609779,0.0826829758714852
"y1...90",0.126577759467047,1.46094410859552,0.00039,3.4,0.163208749414337,0.108342587972012
"y1...91",0.0245987435991371,0.32682505406295,0.00638,11.1,0.712709370232517,0.124037649071357
"y1...92",0.221879651063992,2.45163097976334,0.0012,1.7,0.0942731911994148,0.0954792038217154
"y1...93",0.0675348867924896,0.768341702651099,0.00158,6.8,0.390706223582233,0.147314539023083
