"","lambda","eps","T2","L","M"
"time...276",0.0411763899280259,0.228,42.3,48.6680870864801,24.8650415050196
"time...277",0.0413292608153358,0.27143,38.4,31.5165431498083,16.0810780074034
"time...278",0.0398766928017685,0.16629,40.6,19.517433920242,10.1539566487686
"time...279",0.0413753533113189,0.24246,52.1,227.984359875474,116.208461497512
"time...280",0.041785003079675,0.37697,55.8,551.251520760283,279.67917315903
"time...281",0.0407874326853133,0.09659,32.9,10.5545680508085,5.41789287978816
"time...282",0.0392005179311046,0.32903,43.1,19.6137305181811,10.3142673753459
"time...283",0.0412917739582643,0.262,37.5,27.6717219665832,14.1310412466297
"time...284",0.0400468186428538,0.1592,35.5,11.2142443791987,5.82166739747184
"time...285",0.0407187164017967,0.08596,34.8,13.6750384373029,7.03058439722194
"time...286",0.0390729373137544,0.29229,63.3,193.796217941743,102.056173507016
"time...287",0.042345362109946,0.43341,75.9,18579.2858684342,9355.42692267371
"time...288",0.0394656012390618,0.25952,45,27.3833032054483,14.334151852054
"time...289",0.0396993029245013,0.1997,52.3,75.7453186230297,39.5007431169613
"time...290",0.0410408560930208,0.17637,38.7,29.2151092848485,14.9715401599434
"time...291",0.0410285416524956,0.20538,33.4,12.467790429345,6.37802183942968
"time...292",0.0391606521024729,0.35493,43.9,19.5296699830452,10.2633494297224
"time...293",0.0418334615544404,0.40734,51.3,280.439764370812,142.131080491768
"time...294",0.0393394661995489,0.30097,40.9,15.0485729447497,7.88777672613526
"time...295",0.0392991213562221,0.30408,47.4,32.8973975651749,17.2596630612421
"time...296",0.0403716449811416,0.05868,37.7,16.471269673403,8.50283589179806
"time...297",0.041654747538112,0.35147,53.2,314.984782126029,159.911069111027
"time...298",0.0398968909666505,0.18606,34,8.4525600986221,4.39539840065767
"time...299",0.0413496006622731,0.27425,44.5,76.0633718398203,38.7932516117073
"time...300",0.0415573520137725,0.34835,43.1,71.1358094159507,36.1916789622318
"time...301",0.0405541710716299,0.05532,37.7,18.2630257759252,9.40629208842699
"time...302",0.0391121761947706,0.35447,39.4,11.470870904654,6.03514340183479
"time...303",0.0422404706991258,0.49949,61.5,1950.84143627555,984.557303100476
"time...304",0.0413704975311953,0.26868,35.3,20.1444370658002,10.2691517365387
"time...305",0.0396164423817669,0.2425,41.8,20.4804608359903,10.7010410429075
"time...306",0.0411855042118798,0.21019,41.4,42.8435091857876,21.8847567501901
"time...307",0.0417350925765006,0.39443,46.2,130.282037350607,66.1713749205422
"time...308",0.0400149513115627,0.14498,40.4,21.1091675029665,10.9664704048451
"time...309",0.0396357212227078,0.23709,35.4,9.22735473597953,4.81912990411017
"time...310",0.0415285688657559,0.3184,44.7,90.0288572946694,45.8329565759053
"time...311",0.0390132719129842,0.37918,38.5,10.3143526851011,5.43937606094662
"time...312",0.0402585082809742,0.10195,34.9,11.3984026151328,5.89932433851248
"time...313",0.0390265823821649,0.36055,37.9,9.60746676064776,5.06499648476591
"time...314",0.0390982880298244,0.36129,42.4,16.3572462659227,8.60882442030579
"time...315",0.0391407134535855,0.3475,45.7,24.1642525908401,12.7049209989761
"time...316",0.0419103241731751,0.44731,45.7,120.949985861829,61.1963421927197
"time...317",0.0395983628246778,0.23989,38,12.7570878758728,6.66838476811962
"time...318",0.0411703388360762,0.19097,59.5,556.43603462192,284.327396020858
"time...319",0.0389599368570059,0.35806,54.5,60.7642685248527,32.0353668530356
"time...320",0.0384070007002018,0.49264,43.8,13.2631474422967,7.05412982965139
"time...321",0.0427079268853434,0.49782,84.2,122378.615941578,61447.5816410822
"time...322",0.0404704911389727,0.04048,42.8,36.14607918325,18.6522775215576
"time...323",0.0417424167508293,0.41949,36.7,31.265318089267,15.8773752593947
"time...324",0.0408914355665549,0.15398,36.6,19.44487912627,9.97784336182631
"time...325",0.0380243893698144,0.48755,56.4,43.0159410783034,23.0274085525417
"time...326",0.0392306225753985,0.33937,40.7,14.6933982145545,7.72133780260335
"time...327",0.0400707956831082,0.13429,31.2,6.43742938155854,3.34002995507994
"time...328",0.0407373082965689,0.08098,44.7,52.7662924966598,27.116728472752
"time...329",0.040942503543645,0.14804,48.1,96.1589840749588,49.2859877726485
"time...330",0.0374877236433281,0.49818,74.4,199.289834062917,107.675389576728
"time...331",0.0409626025928454,0.1844,36.2,18.396287179147,9.42471135051123
"time...332",0.0408352873232981,0.11831,42.8,46.0242671350278,23.6464731151571
"time...333",0.0394869729478545,0.26188,37.2,10.5390151468093,5.51403192707366
"time...334",0.0390737048976281,0.36141,39.1,11.0717705854043,5.83046443622759
"time...335",0.0402383261587894,0.09029,32.7,8.53577632302585,4.41979136453641
"time...336",0.0417553245772494,0.45436,41.1,60.5576915827084,30.7441303729197
"time...337",0.039913458306128,0.19327,40.8,20.0184688900262,10.4057799302913
"time...338",0.0408623729337736,0.1328,31.3,9.3082341442757,4.77949792064368
"time...339",0.040691020964936,0.06074,33.7,11.769250514981,6.05456883281204
"time...340",0.0407030731444865,0.11426,38.5,22.6507539922962,11.6492749135297
"time...341",0.0395190406810084,0.26468,39.1,13.2982706978062,6.95246983048941
"time...342",0.0414072588598556,0.26131,54.2,308.793698590447,157.287470452585
"time...343",0.0419859513066544,0.48945,50.9,312.270444314875,158.098155095807
"time...344",0.0410108721240993,0.17351,36.3,18.6557552680397,9.54731167796434
"time...345",0.0402682236024286,0.10273,33.7,9.73518314827233,5.03739436784161
"time...346",0.039595652571823,0.23689,31.1,5.40050223355326,2.82312876346703
"time...347",0.0392152163109525,0.36755,42.7,18.6915595065941,9.82592262227127
"time...348",0.0401433841500968,0.11563,29.6,5.23654411575418,2.7124320534002
"time...349",0.0411128869911928,0.2032,40.1,35.6305404818762,18.2298214577623
"time...350",0.0414982433307896,0.29081,54.6,386.869607377535,197.084044052191
"time...351",0.0404960436754734,0.04257,37.6,18.0188311388454,9.29276984821135
"time...352",0.0399639596098604,0.14148,48.7,54.5031094712761,28.2982153034111
"time...353",0.0394827347222562,0.26924,39.5,13.9661469752728,7.30783689592909
"time...354",0.039877800454212,0.18925,33.2,7.63718396895826,3.97314824528761
"time...355",0.0425466545917568,0.49032,80.3,48721.7335248825,24486.7979260661
"time...356",0.0414249026523878,0.30913,49.7,161.227979375126,82.0911778893931
"time...357",0.0418683154137144,0.39084,58.9,878.606219999055,444.951512552796
"time...358",0.0406870325250394,0.07784,35.5,15.0441464755382,7.74000327736564
"time...359",0.0394914077283069,0.26082,38.2,11.9113536939982,6.23139545593011
"time...360",0.0395079764793021,0.26309,41.2,17.1965013175718,8.99282589746736
"time...361",0.0397462551795207,0.24649,32,6.04133151069023,3.14708754316131
"time...362",0.041354035670805,0.26577,45.7,90.4584426933097,46.1303784328474
"time...363",0.0427758734485701,0.48847,90.7,353628.582369264,177303.227953171
"time...364",0.0399839834344828,0.17038,37,13.6097903903962,7.07549601310136
"time...365",0.040302493060939,0.08784,32.8,8.6493320377524,4.47202687505069
"time...366",0.0408319860314287,0.10282,33.5,12.6365885606687,6.49294318791736
"time...367",0.040051157414398,0.15568,39.5,18.7939569287641,9.75556061446997
"time...368",0.042056320300744,0.43112,65.8,3066.64177171746,1550.22109273436
"time...369",0.0388816435838432,0.39139,37.8,8.71558762327265,4.60347386214326
"time...370",0.0400253789090909,0.16593,29.4,5.10250138921903,2.65017589660367
"time...371",0.0390626021430766,0.38262,40.1,12.462220310815,6.56440755110163
"time...372",0.0405200831272787,0.03926,39.8,24.1910241727252,12.469119470954
"time...373",0.0396126324098817,0.23672,35.3,9.11316811442657,4.76205327939165
"time...374",0.0395539702916143,0.2859,31.8,5.44143425498201,2.84251857929412
"time...375",0.0417077500148392,0.36751,56.2,490.09068520688,248.518938694358
"time...376",0.0424437353565708,0.45414,83.8,85132.5047066812,42881.0391863713
"time...377",0.041128298655814,0.23036,31.6,10.6881412746872,5.46654348217646
"time...378",0.0410158038909521,0.16793,38.2,24.2940271124883,12.4313930891964
"time...379",0.0405655041907384,0.0438,38.1,19.2679595058714,9.92132897461315
"time...380",0.041640401093538,0.37151,46,109.074242350117,55.3921483488633
"time...381",0.0413122969497885,0.2653,36.1,22.6075193831161,11.5396590800654
"time...382",0.0393010941034524,0.30416,47,31.3515312635351,16.4478588447241
"time...383",0.0403144021247405,0.06898,33.4,9.3592175633362,4.83774893689735
"time...384",0.039585512001423,0.22392,36.6,10.7153918871902,5.60282710557576
"time...385",0.0418113870006007,0.39584,48.5,184.120838680491,93.3603183218351
"time...386",0.0394184912193474,0.30362,33.6,6.7830770869807,3.55460661520178
"time...387",0.0396862852482707,0.21639,40.7,17.8567805073908,9.3150241492289
"time...388",0.0399573187347589,0.15833,34.7,9.23717588977039,4.79671062221375
"time...389",0.0421288581874868,0.43996,68.7,4785.52859439825,2415.32703889429
"time...390",0.0408905784957619,0.13884,39.9,30.7604524299053,15.7845606854301
"time...391",0.0410574329793798,0.19245,38.8,29.633234018574,15.1801839332587
"time...392",0.0398359668312348,0.21207,35.9,10.7549911630659,5.60056245107047
"time...393",0.0388885337034776,0.3708,52.9,50.4626582290103,26.6494347202782
"time...394",0.0411146509781409,0.18405,41.8,45.332759427245,23.1929011947345
"time...395",0.0404347225739858,0.05093,36.9,16.4055826931328,8.47257664219725
"time...396",0.0402376197225061,0.08456,31.3,7.10101196512713,3.67693511383121
"time...397",0.0418436632107968,0.45334,45.3,113.861246397537,57.6937163028584
"time...398",0.0386701163277293,0.44775,48.4,26.9569191769005,14.288677009599
"time...399",0.0418323965674241,0.40882,48.5,184.138707232537,93.3264393715735
"time...400",0.0408704188037379,0.12778,44.2,55.9143279011178,28.7051354530597
"time...401",0.0409141679780784,0.14674,41.1,36.3451596009197,18.6404475706221
"time...402",0.0406019908296868,0.06114,35.4,14.8380733836044,7.64867591522701
"time...403",0.0424352051547325,0.45982,84,66032.5738367744,33185.7527997907
"time...404",0.0401969359290514,0.10042,42,28.9832066933204,15.0216124892332
"time...405",0.0421922695985975,0.48439,67,3689.11600368604,1859.39208162479
"time...406",0.0391885453102015,0.33228,42.3,16.1616328528578,8.48777425167978
"time...407",0.0392291635482709,0.30516,53,64.5454652956787,33.9196163230972
"time...408",0.0409569240299702,0.13988,47.4,87.2470160009044,44.7037306626427
"time...409",0.0416661796669246,0.41771,38.2,34.5814352952487,17.5518436198802
"time...410",0.0392393613732019,0.34465,39.2,12.2668667663669,6.4448763416449
"time...411",0.0399511773119843,0.17416,39.3,16.5512379995518,8.59599771718699
"time...412",0.0418631836119144,0.44793,33.6,19.6343175415395,9.94449914908802
"time...413",0.040825548125236,0.13429,34.8,15.1388319999757,7.77977440252942
"time...414",0.0417113429577732,0.39647,44.4,86.1981395740347,43.7065604578615
"time...415",0.0405061522026723,0.04479,34.5,11.8983892146048,6.13489450245497
"time...416",0.0402894561284061,0.11374,32.4,8.2061959381747,4.24417214265428
"time...417",0.0417922269789203,0.36609,57.1,670.171171121102,339.959617344179
"time...418",0.0388942553186199,0.355,53.5,54.1084090353785,28.5708738759043
"time...419",0.0413062423903575,0.21819,60.1,723.74911413818,369.476258499916
"time...420",0.0417188440256052,0.32549,66.3,2668.62870736178,1355.90304298811
"time...421",0.0404111506553506,0.0789,34.9,12.55127862937,6.48551974109393
"time...422",0.0410947547086691,0.18297,46.7,90.7503387125243,46.4498238306296
"time...423",0.0413791257354001,0.26632,43.3,63.9660599291725,32.6021305434121
"time...424",0.0405106117935474,0.05095,34.5,11.898464147151,6.13431208358639
"time...425",0.0394817224954768,0.28068,42.1,19.1999975028327,10.0467063240262
"time...426",0.0409646008664205,0.15976,44.2,55.9251520633474,28.6500672163905
"time...427",0.0397382435343157,0.21019,38.7,13.9184143207044,7.2518144030665
"time...428",0.0398094734230287,0.1901,36.4,11.4589095971662,5.9707803893499
"time...429",0.0388262187773037,0.2991,73.7,567.204021170665,299.986062277917
"time...430",0.0415656221835625,0.34862,40.2,46.4095804068533,23.6074381481551
"time...431",0.0404981744240466,0.05224,35,12.7219875247522,6.56073638238875
"time...432",0.0421661197867513,0.48066,57.2,821.09663192682,414.08461938603
"time...433",0.0393477530683636,0.35053,36,8.34578746747019,4.37363108921114
"time...434",0.0404815816890023,0.05646,38.5,20.3258178725632,10.4859868417228
"time...435",0.0405724532674537,0.05004,38.4,20.0577410515645,10.326370657801
"time...436",0.0397329356423505,0.23374,40.8,18.0799646866398,9.42123790709586
"time...437",0.0402721238081037,0.09476,34,10.1267918466015,5.23956178251801
"time...438",0.0409775979254379,0.16176,32.2,10.5513415788008,5.40380390538746
"time...439",0.0405641380804301,0.05017,37.7,18.2632548827577,9.40428464191609
"time...440",0.0409797478470835,0.17595,37.4,21.735912428855,11.1313766455731
"time...441",0.040858076887805,0.12528,39.1,27.5216239526346,14.1328889369702
"time...442",0.0404677977479734,0.04688,39.2,22.3224332057239,11.5196383881545
"time...443",0.0400255331813177,0.15472,35.1,10.6497663567425,5.53133645009939
"time...444",0.0404769053334815,0.0473,42.4,34.2615092794928,17.6772159585238
"time...445",0.0392095784107399,0.32935,49.5,42.3637324859321,22.2730505803975
"time...446",0.0402639980894335,0.1006,36.1,13.3459794823544,6.90643990053702
"time...447",0.0414791891743413,0.31732,37.7,28.4997154253328,14.4935638032614
"time...448",0.0401074780641384,0.12484,34.7,10.1143030148183,5.24333893290979
"time...449",0.0395985281905426,0.23369,48.5,47.1892237037957,24.6666562419275
"time...450",0.0412694833285852,0.25,49.5,156.558264232888,79.9887756801736
"time...451",0.0407959711027635,0.08889,38.4,22.3474364845289,11.4692273303791
"time...452",0.0397471811841245,0.22704,36.7,10.8490588105659,5.65143767850786
"time...453",0.0416612253522471,0.36327,41.2,53.7932988321542,27.3058219758311
"time...454",0.0393781246733364,0.27338,36,8.34551565623483,4.3703746911426
"time...455",0.0392296853947903,0.34748,35.8,8.1483782697273,4.28204312879609
"time...456",0.04072686508718,0.08297,46.3,65.6332658675134,33.7370475814191
"time...457",0.040594771018754,0.0695,32,8.51508716830106,4.38162505581715
"time...458",0.0412246164959395,0.21886,57.5,419.209133060925,213.948494731445
"time...459",0.0405682140698852,0.05705,42.2,33.3594648594094,17.1761798724065
"time...460",0.0398184786736533,0.1732,41.1,20.7952660747239,10.8333259369333
"time...461",0.0392287877803353,0.36405,36.2,8.55015134167827,4.49327296442589
"time...462",0.0400508514569273,0.15414,33,8.12112945347785,4.2155424845069
"time...463",0.0392958255987926,0.26692,56.9,103.171469124042,54.1332288185838
"time...464",0.0408331639053546,0.13916,45.9,70.8113608100278,36.3833871885907
"time...465",0.040292916860061,0.07767,32.5,8.31480691314392,4.3000052355409
"time...466",0.0399049386895423,0.15945,33.3,7.73470218006471,4.02135838401665
"time...467",0.0402654930947399,0.07586,38.4,18.0572050510425,9.34414298498823
"time...468",0.0412528189322674,0.23325,44.4,65.5432100465129,33.4297958653731
"time...469",0.0409017912559092,0.12635,45,62.4941115776962,32.0604374201815
"time...470",0.0420650474894117,0.49714,45.5,136.525246246298,69.0019183233403
"time...471",0.0410272315259758,0.18482,30.8,8.686710707723,4.44390285896045
"time...472",0.0392971532916183,0.29992,51.4,53.2318545842085,27.9294522185763
"time...473",0.0405192503093083,0.06956,33,9.73378580485202,5.0173174963534
"time...474",0.039279742004715,0.30598,43.7,21.0788166174685,11.0640642618602
"time...475",0.0388300881372978,0.39201,43,15.9589941226125,8.43970386058808
"time...476",0.0395740655078297,0.2673,37.4,10.7994250061837,5.63880393745723
"time...477",0.0401174028953898,0.13569,35.1,10.6503133908067,5.51995289339009
"time...478",0.0405050860070219,0.03764,39.7,23.8688988555208,12.3072714112236
"time...479",0.0397080878174325,0.21207,44.9,30.1309835679452,15.7099289172395
