"","G","r","eps","T2","L","M"
"mu...789",62.7271518412782,31.4281743626534,0.05899,36.9,15.1408033276331,7.80323191287484
"mu...790",62.6352019603948,30.6135512180708,0.04812,44.9,43.5051642603121,22.4545061281864
"mu...791",62.7899981306351,31.0156036136052,0.03653,43,33.8588915956861,17.4326502111158
"mu...792",62.7901737295444,30.6810956489046,0.04963,39.3,20.7810019818845,10.6993150563518
"mu...793",62.5973257507191,30.8685295370522,0.05059,40.8,25.3288200290577,13.080983579052
"mu...794",62.7379084448504,31.2793972030317,0.03837,45.3,45.8627832287344,23.6326023613448
"mu...795",62.7877390244367,31.5486550717546,0.05116,35.1,11.940176727165,6.14776181066483
"mu...796",62.7677848760085,31.3586248863207,0.04775,41,26.006071894224,13.3942733901238
"mu...797",62.6505976365892,31.4759752025822,0.04731,38.1,17.7381243879358,9.15300420429046
"mu...798",62.6127769002597,30.7406006643605,0.04308,44.9,43.5051641785734,22.4625472968172
"mu...799",62.7341234156109,31.2780350936656,0.03847,39.6,21.6200242587324,11.1412402714184
"mu...800",62.7798967814973,30.7138633781981,0.03663,41,26.0060717893569,13.3916891470339
"mu...801",62.7436063305694,30.9754822582265,0.05339,38.9,19.7127350900142,10.1568401472069
"mu...802",62.7651366683608,31.099210906046,0.04773,39,19.9745401830481,10.2882020081547
"mu...803",62.7256434151346,30.6243933079084,0.05432,34.6,11.1779262857352,5.76099245516576
"mu...804",62.7326993208133,31.5483709726237,0.05884,35.2,12.0987535834065,6.23487650866026
"mu...805",62.7224641131542,31.241437124182,0.03486,48.1,66.3586544800055,34.2023256569426
"mu...806",62.713845478765,31.6049831710301,0.04398,38.7,19.1993752473092,9.89702834526483
"mu...807",62.9070107092366,31.2040740875571,0.04794,38.1,17.7381243603248,9.11569636519538
"mu...808",62.7023929357596,30.7081180875197,0.05808,37.2,15.7521053536865,8.12148942932926
"mu...809",62.6531411586114,30.9041154301888,0.03236,47.2,58.9289196346728,30.4065287057025
"mu...810",62.7089458680966,30.848857494332,0.03986,51.2,99.8905555664829,51.4963074855742
"mu...811",62.6909392794254,31.3575156299482,0.05191,39.4,21.0569943912983,10.858573822838
"mu...812",62.7640982331473,30.9134098752213,0.03873,38.6,18.9477304027191,9.75948866543407
"mu...813",62.7176282348407,31.0538547983503,0.0559,38.8,19.4543617865263,10.0278666326141
"mu...814",62.8143119553118,31.4905465382593,0.05916,35.7,12.9237969336262,6.65139467058378
"mu...815",62.8393936090346,31.6173796257735,0.04994,37,15.3418885651186,7.8927431128166
"mu...816",62.7427187088341,30.8867084035718,0.04341,40.8,25.3288200086426,13.0506708887196
"mu...817",62.7344618649931,31.1909381041365,0.04446,38.9,19.7127353476908,10.1583199106344
"mu...818",62.8857613675692,31.2882657531436,0.0446,39.8,22.1981089134914,11.4115548249819
"mu...819",62.7344499469886,31.7737079917632,0.05321,40.1,23.0943464076547,11.9009256578053
"mu...820",62.7511537061361,31.1651721613708,0.04969,45.2,45.2616629930602,23.3179292096874
"mu...821",62.6722257892261,30.8011874258326,0.052,38.6,18.947730020139,9.77379618241516
"mu...822",62.7197381873268,30.9868988603263,0.04715,38.1,17.7381241305071,9.1429147255635
"mu...823",62.736911033378,31.4260079913951,0.06043,35.4,12.4222549307399,6.40115687736462
"mu...824",62.7482867094724,31.2336235514474,0.05296,37.9,17.2761874478754,8.90076208649121
"mu...825",62.594165551487,30.7793892533412,0.04936,36.6,14.5532238768307,7.51634276759252
"mu...826",62.7569484429679,31.0672446395855,0.04332,37.6,16.6057387618146,8.5541639878059
"mu...827",62.782110823583,31.4721652256537,0.05128,43,33.858891527441,17.4348417741747
"mu...828",62.8780028007362,31.1469467382104,0.06647,33.3,9.41613246865125,4.84122207031567
"mu...829",62.7186394512565,30.8964279508537,0.0337,46,50.3001980933304,25.9271190789725
"mu...830",62.7265867592438,31.1324043990762,0.03389,44.6,41.8168311477843,21.5516540650275
"mu...831",62.8216644069728,30.8969883470602,0.04861,41.2,26.7014322463725,13.7406193592363
"mu...832",62.7179034117294,31.2470018793993,0.04638,39.5,21.3366525262626,10.9980554551182
"mu...833",62.7373519981317,31.5673673065869,0.06687,38.9,19.712734985195,10.1578524294338
"mu...834",62.7064965945785,30.4193985588711,0.04998,36.6,14.5532242632711,7.50287731925779
"mu...835",62.693250148106,30.4708239031847,0.05597,40.5,24.3458680388615,12.5541032592558
"mu...836",62.8703613437331,31.1900049192025,0.06358,32,7.93202150506796,4.07867488274166
"mu...837",62.6926202067338,30.9526072991961,0.04273,41.4,27.4153856208725,14.1370604254427
"mu...838",62.6784505824516,31.2788278309873,0.05702,38.1,17.738124494614,9.14893682497015
