"","lambda","eps","T4","L","M"
"time...581",0.0398362547323457,0.01105,52.8,91.6754986763755,47.7388565200674
"time...582",0.0413944904076471,0.01081,45.8,90.4702856372671,46.0950723344287
"time...583",0.0416610312912934,0.01067,44.9,92.7675531671508,47.0896020644805
"time...584",0.0415458591926681,0.01064,44.9,92.7263848760364,47.1882387438784
"time...585",0.0415308200835866,0.01048,45,94.0967194073373,47.9014879847132
"time...586",0.0424207148328913,0.01061,42,92.4020116338516,46.452642380713
"time...587",0.0391393693777507,0.01066,57.4,95.2820695875843,50.0983605526524
"time...588",0.0399328946908183,0.01067,53.1,95.2174677167236,49.4727027633213
"time...589",0.0405811753078747,0.01077,49.9,93.5224141152009,48.1388367221131
"time...590",0.0406333576214168,0.01083,48.8,91.0397325799577,46.895534520145
"time...591",0.0407241681995146,0.01071,48.9,93.5686596070438,48.0994255838953
"time...592",0.0398662098538795,0.01106,52.8,91.6718419223414,47.7038941858118
"time...593",0.0393940055652864,0.01066,55.2,95.4647131033758,50.0560687445218
"time...594",0.0413381504641298,0.01111,45.6,89.156807394923,45.4826163389493
"time...595",0.0417861753916695,0.01082,43.8,89.5094431917696,45.4117341494106
"time...596",0.0403789262237096,0.01097,50.8,90.9533038478427,46.9443261797834
"time...597",0.0392589844380855,0.01091,56.1,93.715862667644,49.2145499924814
"time...598",0.0396335704357911,0.01099,53.9,91.3193876511295,47.6953590039596
"time...599",0.0403664317090982,0.01082,50.9,93.3759797898216,48.2084855184094
"time...600",0.0406068147463631,0.01097,48.7,91.0365058238819,46.9220442501204
"time...601",0.0401812942031448,0.01105,50.7,90.95289669117,47.1565753083335
"time...602",0.0405855183503995,0.01092,49.8,91.051827570572,46.8625444566873
"time...603",0.041459850680045,0.01083,45.8,90.4894219186324,46.0381783844688
"time...604",0.0420812394915306,0.01087,42.8,88.8870094687885,44.9090142695834
"time...605",0.0409441741003938,0.01098,47.7,90.9593740810411,46.6191982373695
"time...606",0.040867215648366,0.01096,47.7,90.9455274419129,46.6927117019135
"time...607",0.0386741087681358,0.01074,59.5,95.9500627183295,50.8540468845129
"time...608",0.0409698444700758,0.01099,47.7,90.9639935922701,46.5947393302948
"time...609",0.0408944172580795,0.01112,47.6,89.695098441413,46.0225881877561
"time...610",0.040651885593301,0.01069,48.9,93.5596771373283,48.1733949298889
"time...611",0.0400044327030563,0.01126,51.6,89.6146447431786,46.5671756065718
"time...612",0.0413782658498926,0.01065,45.9,93.1167322523418,47.4605140379204
"time...613",0.0397851499066835,0.01076,53,94.0365617995245,49.0263124868605
"time...614",0.039540247542327,0.01098,55,93.1184893833775,48.6591861573129
"time...615",0.0405389616570386,0.01105,49.7,91.0489312236605,46.9105344705055
"time...616",0.0406583745570647,0.01069,48.9,93.5604838429321,48.1667442174963
"time...617",0.0405381494198114,0.01105,49.7,91.0488809829495,46.9113719570819
"time...618",0.0410311867905655,0.01116,47.6,89.7193958202083,45.894124169476
"time...619",0.0410497030315343,0.01109,46.6,89.4632980234389,45.8371800276297
"time...620",0.040781239355925,0.01058,49,94.8607650462471,48.7009257151748
"time...621",0.0401243252223617,0.01087,51.9,93.1458612113058,48.2689208830304
"time...622",0.0412540808307296,0.01084,46.8,90.7881123022086,46.3044550297079
"time...623",0.0415484426958418,0.01064,44.9,92.7273087541212,47.1860223244851
"time...624",0.0400592587298077,0.01099,51.8,90.7757662058305,47.1110839992337
"time...625",0.0393537647721261,0.01108,56,92.5649015938741,48.5020315017481
"time...626",0.0404804707925939,0.01074,49.9,93.5160710444297,48.2456786258616
"time...627",0.0404362733619739,0.01102,49.7,91.0425440366352,47.0167882031106
"time...628",0.0412537475455157,0.01084,46.8,90.7880330403963,46.3047601361618
"time...629",0.0416535306223205,0.01067,44.9,92.7648711043688,47.0960090931189
"time...630",0.0416230455725428,0.01066,44.9,92.7539736999573,47.1220736925794
"time...631",0.0404034339012493,0.01101,49.7,91.0405016235445,47.0508819592784
"time...632",0.0402894768446604,0.01094,50.8,90.9531196238741,47.0401385853619
"time...633",0.0404597927744174,0.01088,49.8,91.0440067451324,46.9924025694667
"time...634",0.0395183191598062,0.01097,55,93.1240679932595,48.6870151978889
"time...635",0.0398292594556542,0.01091,52.9,91.6763527132938,47.7470239056506
"time...636",0.040700944111321,0.01085,48.8,91.0479484857682,46.8281750811216
"time...637",0.0385476842219434,0.01102,60.4,93.9546307814414,49.8737453391631
"time...638",0.0394869043451626,0.01096,55,93.1320608111989,48.7269359431442
"time...639",0.0412341261668301,0.01068,46.9,93.3922203657083,47.6537704299615
"time...640",0.0401308851587945,0.0113,51.6,89.6074028916199,46.428277111383
"time...641",0.0392012469543688,0.01102,56,92.6133993891833,48.7017411808974
