"","alpha","beta","eps","T2","L","M"
"time...390",0.018306048080471,0.226589145688772,0.071,49.1,33.4686035790028,4.44326004942706
"time...391",0.0432783852379222,0.575044959816503,0.04308,41.5,17.7810045076967,5.04158867023612
"time...392",0.10669751287998,1.28614285158968,0.04754,39.2,23.8050710491666,14.1586625304756
"time...393",0.0434712513655105,0.545770970360945,0.03956,38.9,17.6084950838049,4.83305625521727
"time...394",0.160709282048439,2.0908212756269,0.04451,42,17.7510327978985,16.4382380795951
"time...395",0.00918116331838672,0.109068479116913,0.04736,65.9,68.4955112039448,5.24516137177011
"time...396",0.171215246661762,2.10536018647305,0.045,42.9,30.0925519615208,28.2621678440982
"time...397",0.122912155970738,1.39935632739074,0.03687,37,24.6924740691969,16.0238921113207
"time...398",0.0346225515759619,0.408018371260802,0.06422,43.4,36.9988894662757,8.05707951624844
"time...399",0.0733825366684562,0.955520160186621,0.03614,51.8,72.9215563775075,32.6276804293677
"time...400",0.0950669538479742,1.17136870024761,0.0601,41.3,27.8586406426149,15.1520057708859
"time...401",0.13566077379463,1.66064784884321,0.04934,40.4,23.8249025053976,17.9138348525355
"time...402",0.0591069485863554,0.727753714425926,0.04191,37.6,17.4656697449618,6.19125652691993
"time...403",0.0570857996478839,0.679979897786376,0.04839,38.2,22.4123513956707,7.53740054984067
"time...404",0.107563026796636,1.34229489251226,0.03894,42.9,31.0011477467962,19.070660234741
"time...405",0.126920127412015,1.56716787014625,0.05031,40.3,22.5502714434269,16.0424033212962
"time...406",0.0875681038518937,1.06735920584595,0.0336,42.6,35.8892734583128,17.9670653825489
"time...407",0.102149834834017,1.31582895568649,0.05998,37.4,12.3291508855621,7.40847155350307
"time...408",0.131712539009611,1.75999305434689,0.04919,54.2,74.8732990609752,58.7092642539609
"time...409",0.105238753694054,1.39356770256284,0.05399,42.2,18.7929475633356,11.8589823536056
"time...410",0.0596713774453065,0.629308408168526,0.03479,37.5,39.4686126935197,12.762996669868
"time...411",0.0379167891693824,0.487741133432967,0.05737,39.4,16.0120163743725,3.96636032365314
"time...412",0.0567663858630018,0.629926761110365,0.03805,36.2,24.8506710418493,7.94631474766493
"time...413",0.135130537926003,1.57837823855254,0.05285,35.8,17.0677615924651,12.3283533609935
"time...414",0.108949507569151,1.41554891074741,0.06467,36.3,9.9373398081381,6.38113976246536
"time...415",0.0937480180296239,0.987917200660089,0.04998,29.6,13.1280261146495,6.30245225006236
"time...416",0.0700383587589569,0.78739745306664,0.04658,37.8,30.2845050985656,11.7309841295025
"time...417",0.112769651192969,1.32951266003223,0.0369,40.8,34.3316120388162,21.1300448692159
"time...418",0.0393312528601161,0.448517167835829,0.06404,34.3,15.1589429581418,3.60496043050426
"time...419",0.015847065809391,0.194211648239256,0.03079,59.7,81.1872653378888,9.57065719729559
"time...420",0.169986931382176,2.1627400955836,0.04515,38.2,12.1999230180877,11.7000035680078
"time...421",0.0532127062011031,0.671926649155838,0.03179,44.2,33.6528119969786,11.0594714199427
"time...422",0.134748903319937,1.7178529592973,0.03941,39.1,15.0351323044086,11.5999000672446
"time...423",0.187967095130111,2.17222035365729,0.04446,38.1,23.0171558319395,22.4572043029325
