"","G","r","eps","T3","L","M"
"mu...117",62.7735818021478,30.8974873753884,0.00162,6,0.257077206956636,0.132237532501552
"mu...118",62.7399383705201,31.3554688930769,0.00161,6,0.257077211090959,0.132308442240848
"mu...119",62.7318790166456,31.3669339672743,0.00161,6,0.257077216788261,0.132325439424161
"mu...120",62.7827282641398,31.0130360422111,0.00162,6,0.257077206132843,0.132218267811839
"mu...121",62.7774996876151,31.0563916180889,0.00162,6,0.257077193094238,0.132229282518159
"mu...122",62.7181249179058,30.4762425813557,0.00162,6,0.257077216021519,0.132354458179913
"mu...123",62.7617078740638,31.034243902981,0.00162,6,0.257077208622607,0.132262550458828
"mu...124",62.8686001645296,30.6228250934747,0.00162,6,0.257077198074529,0.132037672943302
"mu...125",62.7666658852803,30.6675588971216,0.00162,6,0.257077227327227,0.132252098906404
"mu...126",62.6576680847979,31.0110025685315,0.00162,6,0.257077226516012,0.132482161913475
"mu...127",62.7173974955334,31.3546357988039,0.00161,6,0.257077227413252,0.13235599108143
"mu...128",62.6348966867777,30.7244970711351,0.00162,6,0.257077209330626,0.13253033011425
"mu...129",62.6784268440277,31.1519136146861,0.00162,6,0.257077205992609,0.132438288501736
"mu...130",62.8244513310467,31.3840219471828,0.00161,6,0.257077200101299,0.132130460011173
"mu...131",62.5779411195847,31.452523230227,0.00153,6.1,0.260454026151896,0.134415234708662
"mu...132",62.6547254022373,31.3503612739911,0.00153,6.1,0.260454022601801,0.134250507886305
"mu...133",62.8816580310176,31.4644218976687,0.00161,6,0.257077192937243,0.132010255442634
"mu...134",62.7039322598347,31.3674672219249,0.00161,6,0.257077216275338,0.132384415884192
"mu...135",62.6465313898955,30.4917920010421,0.00162,6,0.257077204310458,0.132505717664473
"mu...136",62.8171529652411,30.6456580295592,0.00162,6,0.25707720753707,0.132145809740946
"mu...137",62.708437565051,30.8602097666321,0.00162,6,0.257077212318459,0.132374905602175
"mu...138",62.6729558619298,31.0085847506165,0.00162,6,0.257077207599368,0.132449849079314
"mu...139",62.7552808289472,31.1166398049192,0.00162,6,0.257077193348057,0.132276099104617
"mu...140",62.7787732173227,31.6078786637452,0.00161,6,0.257077220112062,0.132226594490827
"mu...141",62.7386361872297,30.55638676251,0.00162,6,0.257077211381943,0.132311188471386
"mu...142",62.7983143732265,31.4358039515865,0.00161,6,0.257077185706869,0.132185456500831
"mu...143",62.6692332020085,30.7969810055516,0.00162,6,0.257077202542797,0.132457718155395
"mu...144",62.7251907016622,30.7186073849403,0.00162,6,0.257077227133166,0.132339546656686
"mu...145",62.7595800726016,31.145520438628,0.00153,6.1,0.260454008628291,0.134026213423279
"mu...146",62.6515177855359,30.7936307405016,0.00162,6,0.257077216213273,0.132495169122922
"mu...147",62.7293087329852,30.8329372839752,0.00162,6,0.257077220331223,0.132330860329987
