"","x"
"1084",2.8
"1085",14.8
"1086",43.4
"1087",7.4
"1088",51
"1089",61.9
"1090",32.9
"1091",1.8
"1092",7.8
"1093",7.4
"1094",24
"1095",3.9
"1096",5.4
"1097",98.5
"1098",37.8
"1099",38
"1100",18.9
"1101",22.4
"1102",39.1
"1103",21.9
"1104",48.2
"1105",37.8
"1106",4.7
"1107",79.6
"1108",25.3
"1109",4.9
"1110",32.1
"1111",47.5
"1112",3.9
"1113",75.5
"1114",2.1
"1115",38.9
"1116",16.2
"1117",79.8
"1118",1.3
"1119",28.6
"1120",5.2
"1121",79.9
"1122",10.3
"1123",77.3
"1124",22.3
"1125",47.7
"1126",54.4
"1127",3
"1128",11
"1129",10.3
"1130",24.5
"1131",14.5
"1132",28.9
"1133",13.3
"1134",38
"1135",3.8
"1136",50.2
"1137",11.2
"1138",55.8
"1139",71.4
"1140",77.3
"1141",47.7
"1142",17.7
"1143",9.3
"1144",3.6
"1145",23.3
"1146",10.9
"1147",43.2
"1148",41.7
"1149",31.6
"1150",13.5
"1151",11.8
"1152",2.2
"1153",8.1
"1154",6.4
"1155",2.5
"1156",2
"1157",2
"1158",2.8
"1159",19.3
"1160",10.5
"1161",16.3
"1162",1.3
"1163",78.6
"1164",11.4
"1165",12.1
"1166",38.3
"1167",4.6
"1168",10.9
"1169",41.7
"1170",20.9
"1171",83.5
"1172",19.4
"1173",22.5
"1174",21.2
"1175",34.4
"1176",5.2
"1177",35.3
"1178",3.8
"1179",24.9
"1180",54.7
"1181",17.5
"1182",76.5
"1183",21.2
"1184",20.7
"1185",15.9
"1186",19.6
"1187",1.8
"1188",6.2
"1189",2.2
"1190",30.2
"1191",4.8
"1192",13.5
"1193",24.3
"1194",63.8
"1195",30.9
"1196",19.1
"1197",13.2
"1198",16.2
"1199",7.5
"1200",74.5
"1201",11.2
"1202",34.5
"1203",12.1
"1204",1.6
"1205",8.7
"1206",11.6
"1207",15.3
"1208",88.5
"1209",6.8
"1210",6.4
"1211",15.8
"1212",5
"1213",14
"1214",35
"1215",28.4
"1216",36
"1217",10.9
"1218",2.1
"1219",84.2
"1220",1.6
"1221",37.6
"1222",5.8
"1223",2
"1224",72.3
"1225",22.6
"1226",2
"1227",4.7
"1228",3
"1229",19.1
"1230",26.1
"1231",17.7
"1232",13.2
"1233",5.9
"1234",46.6
"1235",59.2
"1236",5.3
"1237",2.6
"1238",10.9
"1239",14.2
"1240",69.7
"1241",6.7
"1242",21.2
"1243",16.2
"1244",51.9
"1245",20.5
"1246",24.3
"1247",29.2
"1248",5.9
"1249",15.3
"1250",25.8
"1251",43.4
"1252",128.2
"1253",16
"1254",84.2
"1255",7.5
"1256",7.5
"1257",18.6
"1258",82.9
"1259",34.9
"1260",2
"1261",60.6
"1262",37.9
"1263",6.9
"1264",22.3
"1265",13.7
"1266",30.1
"1267",12.2
"1268",18
"1269",4.5
"1270",4.5
"1271",3.2
"1272",2.3
"1273",5.6
"1274",1.5
"1275",18.2
"1276",2.4
"1277",38.6
"1278",9.9
"1279",44.9
"1280",8.6
"1281",11.7
"1282",2.4
"1283",12.5
"1284",68.3
"1285",26.4
"1286",36.5
"1287",32.2
"1288",13.6
"1289",38.2
"1290",36.3
"1291",19.6
"1292",22.4
"1293",14.9
"1294",66.2
"1295",57.1
"1296",16.6
"1297",16.2
"1298",35.4
"1299",5
"1300",84.2
"1301",21.7
"1302",86.6
"1303",10.7
"1304",9.1
"1305",8.7
"1306",65.4
"1307",30.3
"1308",17.8
"1309",81.8
"1310",16.4
"1311",12.6
"1312",3.1
"1313",23.2
"1314",20.1
"1315",48.2
"1316",74.5
"1317",3.8
"1318",4.8
"1319",10.3
"1320",30.4
"1321",44.6
"1322",1.1
"1323",16.6
"1324",2.4
"1325",15.2
"1326",21.5
"1327",57.7
"1328",52.6
"1329",28.7
"1330",25
"1331",10.8
"1332",12.8
"1333",13.5
"1334",45.6
"1335",17
"1336",2.1
"1337",35.7
"1338",40.8
"1339",29.7
"1340",3
"1341",13.2
"1342",23.4
"1343",4.6
"1344",44.6
"1345",5.2
"1346",56.4
"1347",47
"1348",26.8
"1349",0.6
"1350",75.3
"1351",4
"1352",24.2
"1353",31.4
"1354",11.5
"1355",7.5
"1356",35.3
"1357",50.9
"1358",71.1
"1359",21.1
"1360",40.7
"1361",16.2
"1362",10.7
"1363",73.9
"1364",12.2
"1365",8.8
"1366",65
"1367",57.7
"1368",16.6
"1369",119.8
"1370",10.5
"1371",13.6
"1372",36.5
"1373",21.4
"1374",22.4
"1375",31
"1376",9.9
"1377",37.3
"1378",22.8
"1379",7.3
"1380",8.3
"1381",19.4
"1382",15.4
"1383",32.2
"1384",16.4
"1385",95.8
"1386",24.3
"1387",29.2
"1388",26
"1389",2.3
"1390",5.6
"1391",11.2
"1392",3.4
"1393",33.6
"1394",90.9
"1395",43.8
"1396",17.2
"1397",22.2
"1398",31.8
"1399",19.5
"1400",26.9
"1401",40.1
"1402",14.6
"1403",39
"1404",41.1
"1405",21.4
"1406",19.2
"1407",1.1
"1408",36.3
"1409",48.6
"1410",86
"1411",11.3
"1412",5.1
"1413",33.3
"1414",21.9
"1415",7.5
"1416",17.5
"1417",58.2
"1418",30.8
"1419",3.8
"1420",2.9
"1421",15.4
"1422",83.1
"1423",12.2
"1424",0.7
"1425",23.2
"1426",15.5
"1427",37.2
"1428",2.7
"1429",65.2
"1430",24.7
"1431",18.4
"1432",55.6
"1433",28.2
"1434",46.2
"1435",11.7
"1436",12.7
"1437",52.6
"1438",67.6
"1439",25.6
"1440",7.8
"1441",4.5
"1442",16.9
"1443",10
"1444",20.1
"1445",10.7
"1446",17.6
"1447",4.7
"1448",14.6
"1449",57.4
"1450",5.9
"1451",25
"1452",14.2
"1453",28.7
"1454",10.2
"1455",6.2
"1456",77.9
"1457",13.8
"1458",2.6
"1459",78.5
"1460",13.3
"1461",1.9
"1462",20.4
"1463",12.7
"1464",8.9
"1465",18.9
"1466",14.6
"1467",15
"1468",5.3
"1469",60.7
"1470",20.9
"1471",18.9
"1472",13.5
"1473",110.6
"1474",37.7
"1475",6.1
"1476",32.8
"1477",18.3
"1478",7.2
"1479",32.2
"1480",34.8
"1481",34.9
"1482",27.8
"1483",1.9
"1484",23.8
"1485",11.6
"1486",44
"1487",2.4
"1488",58.7
"1489",33
"1490",50.6
"1491",7.8
"1492",45.4
"1493",17.1
"1494",12.8
"1495",86.2
"1496",16.9
"1497",7.9
"1498",2.9
"1499",33.8
"1500",18.6
"1501",10.9
"1502",116.6
"1503",26.1
"1504",3
"1505",13.2
"1506",10.3
"1507",41.8
"1508",49.4
"1509",6.6
"1510",6.4
"1511",25.5
"1512",34.7
"1513",66.4
"1514",9
"1515",2.9
"1516",14.3
"1517",3.7
"1518",17.5
"1519",37.6
"1520",16
"1521",14.6
"1522",8
"1523",39.8
"1524",36.3
"1525",6.4
"1526",21.1
"1527",4.3
"1528",23.7
"1529",40.9
"1530",34.7
"1531",16.1
"1532",18.3
"1533",20.2
"1534",69
"1535",21.5
"1536",6.3
"1537",14.8
"1538",20
"1539",2.4
"1540",42.7
"1541",11.2
"1542",9.8
"1543",7.9
"1544",31.7
"1545",3.3
"1546",11.3
"1547",31.6
"1548",11.2
"1549",4.1
"1550",5.6
"1551",4.5
"1552",29.6
"1553",43
"1554",14.3
"1555",26.9
"1556",8.8
"1557",5.6
"1558",16.2
"1559",12.3
"1560",7.2
"1561",29.5
"1562",7.1
"1563",13.8
"1564",15.9
"1565",86.6
