"","x"
"936",44
"937",41
"938",76.8
"939",38.2
"940",40.1
"941",44.8
"942",75.1
"943",112.3
"944",41.4
"945",99.6
"946",24.9
"947",15.1
"948",58.8
"949",23.9
"950",21.6
"951",26.7
"952",28.9
"953",86.8
"954",78
"955",42.9
"956",54.4
"957",36.4
"958",67.3
"959",32.7
"960",42.8
"961",26.6
"962",70.9
"963",37.5
"964",27.7
"965",106.9
"966",17.3
"967",56
"968",31.2
"969",49.6
"970",41.6
"971",39.1
"972",49.4
"973",36.2
"974",70.4
"975",17.9
"976",60.8
"977",41.7
"978",44.7
"979",70.1
"980",28.3
"981",57.7
"982",43.8
"983",20
"984",13.2
"985",79.9
"986",55.8
"987",49.4
"988",49.9
"989",44.7
"990",48.4
"991",36.2
"992",46.1
"993",81.1
"994",56.9
"995",111.8
"996",12.5
"997",48.3
"998",20.8
"999",20.3
"1000",49
"1001",44.9
"1002",83.3
"1003",53
"1004",33.2
"1005",36.9
"1006",52.1
"1007",15.6
"1008",139.1
"1009",47.9
"1010",34.6
"1011",31.7
"1012",11.7
"1013",44.1
"1014",55
"1015",31.9
"1016",62.3
"1017",11
"1018",29.2
"1019",12.7
"1020",115.2
"1021",28.4
"1022",26.4
"1023",14.4
"1024",23.5
"1025",22.1
"1026",67
"1027",46.3
"1028",21.5
"1029",53.5
"1030",26.2
"1031",145
"1032",38.8
"1033",66.2
"1034",50.8
"1035",33.9
"1036",130.5
"1037",20.2
"1038",50.7
"1039",31.1
"1040",129.4
"1041",60.8
"1042",61.1
"1043",32.5
"1044",33.7
"1045",137.6
"1046",18.7
"1047",20.1
"1048",57.9
"1049",34.7
"1050",27.2
"1051",21.9
"1052",44.5
"1053",75.2
"1054",33.2
"1055",17.4
"1056",52.1
"1057",37
"1058",36.6
"1059",39.7
"1060",47.5
"1061",75.6
"1062",14.5
"1063",10.8
"1064",101.3
"1065",74.9
"1066",53.5
"1067",29.8
"1068",47
"1069",28.8
"1070",47.2
"1071",118.5
"1072",31.4
"1073",62.7
"1074",6.2
"1075",35.3
"1076",96.5
"1077",28.9
"1078",47.7
"1079",22.7
"1080",62.4
"1081",64.8
"1082",49.9
"1083",18.8
"1084",46.1
"1085",33.2
"1086",49.6
"1087",106.8
"1088",35
"1089",67.9
"1090",39.9
"1091",59
"1092",30.3
"1093",33.5
"1094",51.7
"1095",38.7
"1096",47.6
"1097",40.5
"1098",14.4
"1099",16.1
"1100",51
"1101",22.7
"1102",42
"1103",84
"1104",92.7
"1105",38.8
"1106",33.8
"1107",54
"1108",64.2
"1109",55.3
"1110",24.6
"1111",24
"1112",27.9
"1113",31.6
"1114",61.8
"1115",34.6
"1116",22
"1117",34.4
"1118",34.1
"1119",82.7
"1120",44.1
"1121",31.4
"1122",24.1
"1123",37.3
"1124",14.5
"1125",36
"1126",28.1
"1127",14
"1128",66.3
"1129",26.6
"1130",51.5
"1131",52.6
"1132",96.4
"1133",18.5
"1134",55
"1135",27.8
"1136",72
"1137",14.9
"1138",71.2
"1139",16.1
"1140",14.5
"1141",19.7
"1142",63.8
"1143",130.5
"1144",109.9
"1145",22.4
"1146",51.2
"1147",29.8
"1148",42.8
"1149",31.6
"1150",62.5
"1151",98
"1152",28.4
"1153",77.9
"1154",31.9
"1155",16.8
"1156",65.6
"1157",88.7
"1158",24.6
"1159",68.8
"1160",118.5
"1161",49.6
"1162",111.2
"1163",31.8
"1164",79.3
"1165",36.2
"1166",46
"1167",57.7
"1168",27.7
"1169",52.1
"1170",19.1
"1171",41.8
"1172",21.2
"1173",12.8
"1174",46.9
"1175",65.9
"1176",31.2
"1177",51.5
"1178",59.3
"1179",37.8
"1180",34.1
"1181",89.8
"1182",33.6
"1183",28.5
"1184",61
"1185",12
"1186",35.6
"1187",48
"1188",20.5
"1189",33.9
"1190",83.2
"1191",60.6
"1192",38.1
"1193",37.7
"1194",35.4
"1195",63
"1196",99
"1197",57
"1198",38.3
"1199",56.2
"1200",74.9
"1201",29.8
"1202",49.7
"1203",25.8
"1204",56.3
"1205",29.9
"1206",23.4
"1207",93.9
"1208",30.6
"1209",18.7
"1210",44.1
"1211",73.2
"1212",25.4
"1213",96.8
"1214",34.5
"1215",38.2
"1216",45.7
"1217",57.2
"1218",29.6
"1219",21.3
"1220",31.5
"1221",31.9
"1222",33
"1223",40.9
"1224",23.8
"1225",33
"1226",12.2
"1227",52.9
"1228",40.9
"1229",22.8
"1230",20.7
"1231",46.4
"1232",75.8
"1233",27.8
"1234",14.4
"1235",93
"1236",14.5
"1237",15.6
"1238",34.8
"1239",40
"1240",44.1
"1241",70.2
"1242",90.9
"1243",82.1
"1244",54
"1245",53.9
"1246",29.8
"1247",18.8
"1248",36.9
"1249",53.5
"1250",52.7
"1251",61.2
"1252",69.1
"1253",69.3
"1254",76.1
"1255",26.1
"1256",14.5
"1257",58.4
"1258",28.1
"1259",79.1
"1260",47.4
"1261",20.7
"1262",50.3
"1263",23.9
"1264",49.9
"1265",65
"1266",29.1
"1267",38.8
"1268",52.4
"1269",20.8
"1270",19.6
"1271",43.9
"1272",147.4
"1273",81.6
"1274",20.7
"1275",40.2
"1276",27.4
"1277",41.7
"1278",51.9
"1279",61.9
"1280",34.2
"1281",32.8
"1282",22.2
"1283",19.9
"1284",56.1
"1285",17.8
"1286",36.1
"1287",63
"1288",141.1
"1289",22
"1290",22.7
"1291",22
"1292",15.5
"1293",155.8
"1294",42
"1295",65.5
"1296",69.5
"1297",53.4
"1298",70.9
"1299",79.1
"1300",63.8
"1301",22.2
"1302",56.2
"1303",10.1
"1304",57.2
"1305",51.9
"1306",69.8
"1307",19.4
"1308",79.7
"1309",89.4
"1310",34.5
"1311",37.8
"1312",45.2
"1313",21.2
"1314",45.4
"1315",30.2
"1316",112.5
"1317",18.6
"1318",38.5
"1319",52.7
"1320",79.8
"1321",82.8
"1322",53.5
"1323",33.9
"1324",63.6
"1325",49.3
"1326",42.8
"1327",27.3
"1328",39.3
"1329",49
"1330",19
"1331",26.2
"1332",83.7
"1333",57.6
"1334",56.3
"1335",22
"1336",20.1
"1337",20.2
"1338",67.3
"1339",30
"1340",25.4
"1341",47.1
"1342",24
"1343",60.1
"1344",102.5
